text,label,lang
Head is so far up her ass she will never see daylight.,1,en
"I wanna see your bitch cry, Let's fuck each others brains out.",1,en
Tomi Lauren identifies as a dumb fucking conservathot.,1,en
I cant help that im a pathetic pussy.,1,en
"Usha Ramanathan declared ""Hero"" for speaking out against India's controversial Aadhaar digital identity programme. URL",0,en
Everyone who unliked this vid are gay asfuck,1,en
FUCK YOU AND YOUR KIKE POEM IT DOESNT REPRESENT AMERICA OR AMERICAN VALUES YOU WORM,1,en
Not a whole lot of social distancing going on in this picture you hypocritical douche,1,en
Come to Singapore. We love all tourists. Nice and polite Singaporeans waiting for you.,0,en
"im unbelievably attracted to bi girls. especially with dominant energy, doesnt have to be dom though. works in my favour though haha",0,en
Our priority is Kashmir when it comes to supporting people outside Pakistan.,0,en
> We are a weird *gender* of the species FTFY,0,en
Saudi is a Zionist puppets and no Muslim.the take Iran just on day destroys Saudi.,1,en
Probably because you were a bitter Betty and you sucked.,1,en
Lachy you don't have a dick suck a fat one,1,en
Sikh and Buddhists would be my go to if I was into religion,0,en
I actually agree with Skip,0,en
And let that fucking psycho bitch raise her kids!,1,en
Now kashmiri women can marry other puncture wala easily living in India outside of jk,0,en
Their opinions should not dictate her living her life.,0,en
Females are stupid dumb and ready to do anything for fucking clout,1,en
I wish the rioters would burn the clinic down,1,en
God bless u Luke Islam Masha'allah great voice wish u all the best from Morocco,0,en
Making Movies And Rubén Blades Trace Stories Of Immigrant Injustice With 'Ameri'kana' URL,0,en
Gloryhole cumslut sucks a big cock and drinks cum shooter!,1,en
SEND THAT STUPID WOMAN BACK TO WHERE SHE CAME FROMAFRICA.,1,en
fuck you fuck your friends and fuck your bitch,1,en
This exactly why bey did this song. Such a powerful song. So empowering. Black energy definitely won here. Africa to the world!!!,0,en
Yeah but you know that one snap of where you r a girl is why we're all here,0,en
why are black male rappers and artists always become pedophiles and rapists,1,en
I would bend u over shove my cock into ur ass and piss in u.,1,en
Women ruin every government they touch and then they fucking pout about,1,en
"NAH. You're allowed to come out to you who you want, when you want. Good luck to you",0,en
Looks like all American born residents will have to carry passports and birth certificates well those of color. Shameful.,0,en
"My parents are immigrants with strong ties to their home country, so I always felt more patriotism for their country than my home country.",0,en
Don't rape any kids on the way to the Q&A.,1,en
D haha what's the matter faggot did I hurt your gay feelings?,1,en
EFCC Hands Over Property Seized From Badeh To Voice of Nigeria URL URL,0,en
I'm 63 and white. I could not agree with you more.,0,en
Makes all homosexuals look like degenerate pedos.,1,en
-karma hunting tiny dicked little bitch,1,en
God bless the army and may he help them get rid of this filth that is these extremists,1,en
Just need to finish off my cock with cum all over your slut face.,1,en
Thé LGBTQ community in the USA have privileges that many other groups don't have though.,0,en
hot girls just fuck off you fucking troglodyte,1,en
I love helping a new sissy get cock URL,1,en
I appreciate being bilingual with both African American Vernacular English and corporate white American English,0,en
Chapo banned me for calling them niggers.,1,en
The use of Depleted Uranium by the US in Iraq. URL,0,en
"Correction, 3rd wave feminists should die in a hole",1,en
I hope it sucks all of the people out of their homes and drops them in the ocean.,1,en
Proud of Bangladesh ( Rifaul ),0,en
Nut on her face treat her like a cum bucket URL via,1,en
on gay pride day too... we all love brendon dude,0,en
" First year accepting my sexuality. Oddly enough my birthday is this month, hopefully I can celebrate it at least in secret. ",0,en
"This chick wants to shit talk an unproblematic legend, fuck her attention seeking ass",1,en
Fuck shit pussy ass mother fucking damn bitch,1,en
Feminism has suffered sha. Sigh,0,en
I dont see here terminator.I only see some fucking feminist with mexican retard and ugly effects.,1,en
Good morning beautiful black ppl..,0,en
Happy hari raya puasa (for those who celebrate it)! URL,0,en
Just here for the ratio you homophobic bitch URL,1,en
What a great young Pentecostal lady,0,en
"I hope that inbred, mentally disturbed terrorist bitch goes to prison.",1,en
"Oh shit, Captain ""I used to be a cop"" finna shoot a nigga",1,en
From a white woman thank you for speaking truth.,0,en
I'm passionate about having feminine hips,0,en
I knew all this from other trans women from here but you put it very well.,0,en
Thank you Steve Wallace for your monthly donation to sfts!,0,en
I'd fucking bend her over and fuck her holes and cum all over her face.,1,en
"Triple talaq. You're saying it's in the Quran, but most people would say it isn't. It's a matter of interpretation.",0,en
Hextain I really love the way you look. Cause I'm guessing you're encouraging the LGBT community?,0,en
Do you need your Obama Michael blow up doll with the magic vibrating stick pussy.,1,en
Omg I'm a gay woman too and I can't stop playing!!! Something about pretty anime boys is just nice,0,en
такой вещи простой в хозяйстве не оказалось!,0,ru
но я вам приведу цитату слов сказанных японским премьер - министром 9 августа 1945 года.,0,ru
вот потому скулят и стонут подонки всех мастей,1,ru
я все сказал тебе привет от канала разносчик фейков и всякого гавна колясик-пидорасик!,1,ru
там где время отправления есть значок-карандаш-можно делать исправления.,0,ru
"да он и без сабли,страшный,бля....",1,ru
роза сколько соток у тебя участок?,0,ru
"господи какая же она уебищная, фу блядь мразота",1,ru
ты даже не знаешь когда масло пальмовое стали завозить .,0,ru
"ещё одна залупа престарелая вылезла из под плинтуса 🤣ты, вонючее старое тело, иди правнукам блины пеки, сидишь тут, про политику.",1,ru
заебал этот хабаровск и все пидорасы которые хотят в нем отметиться,1,ru
и это уебище че то тяфкает!!!!??,1,ru
"в августе, долбоебы отмороженые ,всех собрали.",1,ru
"не выкладывай такие гадости, столько х... называешь, нашел, чем гордится!!!",1,ru
а почему не три дня?пиздаболы.,1,ru
"блядурина де курве,из правительственного экскорта.",1,ru
"сабаки спасатели наверное должны уметь раскапывать да по нюху орентироваться а не по веревкам лазить, идиоты разве так можно издеваться!!",1,ru
и для ее решения недостаточно лишь наращивать объемы производства и экспорта энергоресурсов.,0,ru
недоумки... скоро людей начнут привязывать.,1,ru
"а в друг на самом деле сделают, ведь южный поток - 0 , северный поток -2 проблемы, а деньги нужны- с кого брать ?",0,ru
такой вещи простой в хозяйстве не оказалось!,0,ru
..ну ты и сучонок...вывернулся..значит пенсионеры сидят вне территории...20 лет сидят..?и торгуют ...а были-б места?,1,ru
"здравствуйте,сколько будет стоить разблокировать телефон",0,ru
"давление это прежде всего плохая работа почек, а столько воды в один момент и ноги отекут и руки и ебло до кучи , дибил этот кардиолог походу",1,ru
эту мразь и ей подобных до конца жизни вечную мерзлоту долбить голыми руками.как же достала вся эта поганая либерастня.,1,ru
"ну, александр,представляющий в комментариях мужское мнение,насколько я поняла,был фраппирован и оп*здошен запросами мамзелей",1,ru
а вы думаете женщина может справиться с мужиком 60 лет?,0,ru
"отдам-- весы, шитый кошелёк ,аромат.свечи ,зел.полотенце",0,ru
"в россии 9 месяцев холода, вот и сиди на диете, перед отпуском, чтоб не хуже (конечно для своего возраста)",0,ru
"я уж точно не советский, а свинья тебя родила, ублюдочная коммунячья ты тварь.",1,ru
не подведите нас не дайте либеральным петухам прийти к власти.,1,ru
шавки пупкинские умеют воевать только с безоружными,1,ru
тогда им х... по большой морде а не аренду,1,ru
бынт долбоебом подскажите напиональной в россии стало идеей опо занно стью в т ко,1,ru
"это всего лишь информация и всё,далее поступайте как знаете.",0,ru
принцип--получить не работая забил совесть,0,ru
"центральная, 46 с 9 00 до 20.00 позвонить по номеру 89142112005 фаридун.",0,ru
светлая тебе память мы будем помнить тебя всегда !,0,ru
"раскажи говорящяя голова о моём родном рас терзаном крае... вы ,говоруны ,простите лайков,препудренные само влюблённые с тихим вкрадчевым голосом пидоры.",1,ru
"товарищ мартиросян, в то время - кап-три, работал там командиром корабля.",0,ru
группа регламента 83301 р первое отделение командир гидирим.,0,ru
"поздравляю с днём рождения,желаю тебе здоровья счастья успехов.",0,ru
"возможность у них есть и финансы есть,а вот желания нет лучше карманы свои набить для них это важно",0,ru
"ну вот то , что ты долбоёб это понятно .... ну зачем свою тупость и безмозглость выкладывать на всю страну ?",1,ru
а когда она была бессплатной о чем она говорит .у нас никогда не было бессплатным.обжоры когда вы только нажретесь и не подавяться сучары блять.,1,ru
"спосибо большое！ купили рахат лукуме, очень хорошее.",0,ru
я советую тебе купить айфон 20 и 30 про макс,0,ru
"для идиотов, майер отличается от генерал майера !",1,ru
если хочешь меня пиши личку,0,ru
а вот когда силовым методом изменили_ получаем результат.,0,ru
"очень хорошие кружки , прочные и вечные, у меня тоже есть",0,ru
"привет,саша!а они все поголовно говнолитики,экспёрды и спиздыалисты во всех имеющихся отраслях.а по факту-гопота навозная.",1,ru
"я вижу ты даже не скрываешь, что ты шакал госдеповский.",1,ru
"живность, сдрысни, прошэ... блядзина конченая!",1,ru
пидарасы на кой черт мы вас содержим,1,ru
"один фотки прислал, 2 числа в семьей на шашлыках, второй с мужем моим на рыбалку свалили.",0,ru
"ссылки на сторонние ресурсы запрещены, они будут удалены",0,ru
не надо искать во всем только плохое.,0,ru
идите вы на хуй со своей банькой зебали виртуалы,1,ru
"вакцинироваться или нет, это ваше дело, что вы так остро всё воспринимаете.",0,ru
ну и хмырь все повесил на женщину и рад до жопы нюхает цветочки пиздюк ушастый,1,ru
"батька сыкло , начел лизать очко пукино , оставь пост вместе с тем у кого ты лижешь и валите нахер со страны и семьи свои в подмышки захватите .",1,ru
"поклонится дура конченная , такая же пьянь , как и её обдолбанный кумир .",1,ru
ёбну....ся и не встать!,1,ru
это все счастье достаток удача добро мир здоровье любовь вам,0,ru
где тот мертвый который поднялся после употребление этой смеси !,0,ru
есть люди которые работают за копейки.,0,ru
"алевтина,какие твои годы,ещё всё впереди(всё может быть)",0,ru
сколько ещё уродов и некому ему мозги поправить,1,ru
"слышь,о таких вещах не шутят наверное,ты совсем дебилка ?",1,ru
лариска епать нуты и дура планета совсем недружишь с башкой ее,1,ru
люди-падаль?как живется таким как вы?не страшно?,1,ru
"у нас было 4 подъезда три жилых, а четвёртый было организация трест мнгс",0,ru
а все эти волнения для всей этой пропитерской шоблы - просто пустой звук.,1,ru
пользуюсь и мегафоном и мтс- качество отвратительное!,0,ru
ты еще тут сука ебучая уебни отсуда,1,ru
"а от куда , по его слова , появилась двухголовая курица мутант, герб правищей династии византии, откуда на русь пришло христианство ?",1,ru
"ты ни хуя не понимаешь и не видишь, кроме собственной кишки ненасытной.",1,ru
мужик красава👍 👍 👍 что бы не повадно было всяким шкурам ставить свои корыта где попало,1,ru
вы совсем ебнулись про американской поддержке получили от них деньги и закройте хавальники или точно получите российских добровольцев,1,ru
молодец это мы забыли а раньше наши бабушки и прабабушки сами приданное готовили ткали кружева вязали расшивали рубахи рушняки настоящия рукодельница савет да любовь,0,ru
"и эти суки,гейжопейцы,нам привить хотят ценности?вырождаются, бляди и завидуют,что в россии пидоров не любят.",1,ru
"маразм крепчает-идиоты...смерть есть, а эти люди готовы плясать на костях...алкаша и норкушу защищают",1,ru
молодые говнюки ищут на свою жопу приключений все порулить хотят безмозглые бездельники,1,ru
ей в вольер маленького лисёнка подсунули оставшегося без матери.,0,ru
"почти как у нас только 4 сына а дочку уже поздно , будем внучек ждать",0,ru
"доброту нужно снимать а не издевательство над котом, не подавился хозяин где твое сердце?",0,ru
"этих ребят мы знаем, а кто эта красивая девушка?",0,ru
вот так - засадил викнянскому - генерал майор.,1,ru
тебя кто просил пасть вонючую разевать?,1,ru
мы простые коммунисты не воровали и не хотим воровать и не хотим чтобы воровали хули вы нам то говорите уёбки тупорылые!,1,ru
"а им похрен,что детей до 3х надо и в садик тоже собрать.там не тысяча и не 2.а больше 10 выйдет.цены то бешеные.наверное для них до 3х это не дети.прям обидно будет",0,ru
"вообще то, как то старо - райс была еще при буше - младшем, это еще до обамы, если кто забыл.",0,ru
"ты хотел примкнуть к европе - жрать халявный мармелад, а страна в итоге – в жопе.угадай - кто виноват?#u822d887d79s#",1,ru
"здравствуйте, можно взять померить, я завтра на работе, можете зайти, они у меня там на работе, работаю в здании городского поселения в отделе образования",0,ru
почему ни кто не даст объяснение по поводу ношения масок или распираторы на производствах?,0,ru
"зерно разворовали, а хлеб есть, понавыписывали себе премий миллионы , а пенсию платят исправно... а при парашенки всё было заебись только у меня с женой спиздили 5 !",1,ru
что можно подумать о пидора..ах; что они пидора..ы.,1,ru
какой магазин и полный график можнг,0,ru
"у меня кажется именно такой,как на фото.мудрый,очень терпеливый и с большим чувством юмора.что бы не случилось,шепчет,держись.обожаю его.",0,ru
начинают опять нагнитать бляди со своим вирусом щас бубут каждый дерь прибовлять,1,ru
что она пиздоболка муж ию говорит денег нет у них а она маску заказывает дорогую несколько тыс,1,ru
"а , где фашистская символика , она так к лицу этому уроду !",1,ru
в дальнейшем - заместитель начальника управления в московском метрополитене.,0,ru
я не уверен что люди будут так же бороться за жизнь при нынешнем руководстве.,0,ru
"доказала ,что ты шаболда под заборная ,да и хорошим жёнам такое дерьмо на мужского... на хуй не нужно .",1,ru
"слышь ты спермоглотное ебасос свой прикрой ты незная человека называешь пиздюком мелким ,и ты долбоеб хош нормального общения?да ты видать чет курнул иль с дуба на кактус ебнулся головой",1,ru
у меня стороила одна бригада и от начала и до конца пидорасы.,1,ru
"такое чувство, что доктор преображенский все ещё жив и активно продолжает оперировать «шариков»",0,ru
твои стихи созвучны моей душе... умница!,0,ru
"умница,да еще и красива,бес сомнения-это будет настоящая женщина и прекрасная мать.счастья тебе и только вперед.",0,ru
та шо ты брэшишь пиздун на владимировича еблан,1,ru
идиоты ебаные не знают с кого брать....,1,ru
"черчесов спартаковец, но он будет смотреть и думать?!",0,ru
дети с младенчества должны слышать доброе о своих дедушках и бабушках.,0,ru
та дохуя у вас врагов...чо хахакаешь ебнутая?,1,ru
"до коли мы будем терпеть эту шваль, нас не считают за людей!",1,ru
не будем видеть и слышать стрёмную бабу таню и её чокнутую алёнушку .,1,ru
"лев, как любая кошка,пизданеш... и сидит молчит, чё дальше будет...",1,ru
тогда классов мы вам наставим в десять раз больше!!,0,ru
"ещё будете следом бежать и в задницу его целовать, да поздно будет",1,ru
чтобы у тебя пидор душевный хуй на лбу вырос за такие слова,1,ru
"ужасно, что в городе есть такие преступники, и во всех случаях они должны понести наказание.",0,ru
"мухи по недомыслию, пидарасы же хладнокровно и сознательно.",1,ru
"девочки, подскажите пожалуйста куда можно хорошие вещи на совсем ляльку отдать до годика.",0,ru
не пора ли брать всю эту банду за жопу и все вернуть настоящему владельцу и создателя всех этих благ-народу!!,1,ru
"коновалы, а не врачи, а если бы их дочерей так заштопали, идиоты, ни сколько нет ни сострадания и совести... вот наша доблестная медицина....",1,ru
"есть ещё пляжи; очень интересные экскурсии - как по историческим местам, так и на теплоходах; канатная дорога на г.ай-петри и в самом городе ялта; театр; кафе-рестораны.",0,ru
"не думал, что он такой трус,предал и себя и отца, как пел круг, оказалась просто тварь ,сукааааа",1,ru
"алекс хоннольд,посмотрите фильмы про него.он больной этим с десяти лет.",0,ru
"даже если пропадают никому не известные пенсионеры, дети, или не вполне адекватные никому не известные люди.",0,ru
а его мразь выпускали на сцену .,1,ru
"сама ты дура просто бесит как подобия тебя врут а люди незнающие верят!я их не жду, для меня 10тыс не деньги.",1,ru
"я вам написала , что в хабаровске никто никому не платит .",0,ru
просто долбоёбы за рулём в обеих машинах и таких всё больше и больше !,1,ru
"странно вы пишете - хочется верить, что он достойной актер....если он вам нравится, как актер, то нравится...почему хочется верить, еще и в достойного.",0,ru
"если сделал доброе дело, и не хвалишься, оно будет господом зачтено как доброе дело.",0,ru
гнать их на хер из думы.,1,ru
делать ближе к ночи и что бы ни кого рядом не было.,0,ru
сажать этого пидара мразь -отец был золото а этот выродык в тюрягу и надолго,1,ru
"за эти вещи сейчас статья до 5лет,а там он станет пидором.настоящим!!",1,ru
"мне и второй лепить лениво))) да и все равно узнаваемы люди по стилю общения, манере письма.",0,ru
"если конечно сможем вообще играть...игра стала коммерческая: акции на пополнение через день, других практически не осталось.на самом деле это уже становится не интересно.",0,ru
"помогите разобраться с зеркальными звездами,все горят.",0,ru
не ужели нельзя объяснить ребёнку что животине больно.что так делать нельзя.,0,ru
ты озабоченая шваль на уровне половой тряпки.,1,ru
"записьнужна мне помощь да поддержка дружеская, не хватает в хозяйстве вещи малой для дела важного.",0,ru
и натвоей улице грузовик с пряниками перевернется👍,0,ru
представляете а есле вас так радует от аллергией сфоткойте мы хоть над вами уродам и поржом.... твари.,1,ru
в 1981 году поступали с подружкой в техникум после 8 класса.,0,ru
"Ми таки щось здобули, браття і сестри!",0,uk
Мої улюблені алітерації — зі звуком ч.,0,uk
"Дивитися на моє їбло вам протипоказано, тому дивіться на мою гриву.",1,uk
"так як я ретвітю, я заїбусь:)",1,uk
"А ще, мені тут молода 22річна дівчина розказує про проблеми безпліддя.",0,uk
"Заїбалась уже ту ініціативу брати, скільки можна?",1,uk
Ці корейські маски для обличчя - сплашна развлєкуха.,0,uk
" через підорасів без почуття гумору, мудило ти в спортивних штанцях, престиж падає",1,uk
Не відправляйте мені листівки на стару адресу у Львові.,0,uk
Ну я б сказав ніхуйово почали:),1,uk
а я вже не можу читати цю грьобану сімейку Форсайтів.,1,uk
Мама подарували майки «Путін хуйло» та «Я люблю Україну».,1,uk
"Шоб тако ""Йобана, я тупе чмо.",1,uk
А ще біля школи к хуям обірвався дріт,1,uk
Такого піздєца ше канєшно не було,1,uk
"Ну бля, тим тільки гірше роблять Я розумію, чого вони то роблять Но бісить ужасно",1,uk
"Як сказати мамі, шо в мене пірсинг, і не получити пізди ґуґл пошук.",1,uk
"Ось таким чином я роблю все сам, і ні в кого нічого не прошу",0,uk
"Для аутистів-зрадойобів, які зараз піднімуть на знамена і понесуть ""Івропа зливає Вкраїну""",1,uk
"Правда, мінус в тому, що мене не зможуть ретвітити.",0,uk
"І навіщо, якщо я в будь-якому випадку люблю цих людей?",0,uk
"Той момент, коли найстрьомніша дівчина класу стала красивою, а ти як була уйобіщем, так і лишилась.",1,uk
Фоллоу є. і на рахунок всіх справ теж за,0,uk
" блядь, перші 3 літери, і вже фантазія прокидається)",1,uk
"Шукаю мужика, котрому хуяритиму їсти.",1,uk
"Я просто досі охуїваю з того, кого доля приводить у моє життя.",1,uk
"Стрічко, серед вас часом нема блондинок з довгим волоссям чи середньою довжиною, які мають бажання підстригтися?",0,uk
"ну що ж, от воно моєвперше — витягла чужі речі з сушки, бо задовбалась чекати, поки звільнять",0,uk
"А як до профільного кого, то по запису і через касу.",0,uk
"О, знайшов відеофіксацію боротьби антикурвапціванєрів з зрадойобами-євбаками.",1,uk
Тра просто вміти _тугою_ струєю сцяти просто в очі людям.,1,uk
Ясно що то всі так І чекають почути що все хуйово щоб потішити своє самолюбіє,1,uk
хахаха я єбав знову таке малювати,1,uk
"То всьо через то, шо ти еблан",1,uk
"-""Может кто заскринил?""  -""а мне срин скинули"" -""поделись скринами""",0,uk
Привітаймо ж новоспечену гарно вилизану дівчинку.,0,uk
"підступна середа, небезпечний четвер, фатальна п'ятниця",0,uk
"Пан  підняв тему, котра особисто мені пече вже бо зна скілько часу.",0,uk
- хочу вишневого чаю. - хочу потрахатись. - ... - в мене є вишневий чай))0)0,1,uk
"Неймовірний трепет всередині, коли він називає мене ""маленька""...",0,uk
"прийшло натхнення, то вставайте і робіть! я он песто вночі роблю :)) а ви?",0,uk
"блін, сьогодні фізра.. боже, можна я напишу, що мені #лінь",0,uk
"В поїзді люте пекло, ніде яблуку впасти.",0,uk
Та я блять наче ніколи в житті так не сміявся.,1,uk
я думав тебе вжа заїбало писати.  ні.,1,uk
"Натомість, лише мовчки продовжувала читати Андруховича, мовчки підсовуючи книжку поближче до хлопця.",0,uk
"Той самой момент, коли реальний корупціонер Мосійчук дає коментарі людяніше і _можливо_ чесніше ніж маладой антикурвапціоньєр Лєщєнко.",0,uk
"Сука, як же харить, коли без дозволу шарять у твоїх речах.",1,uk
багато чоловіків таких як я дуже люблять що ви знали),0,uk
Взяв у бабусi всi старi фотографiї щоб вiдсканувати.,0,uk
"Мама дізналась, що хворію і вислала дзбан калини і малини.",0,uk
"Так ну добре, тепер коли ти нам вже похвалився — вимикай твітер к хуям гг",1,uk
"Коротше, знайшла зараз листок ""Елена, 18 евро 1 час + номер"" і ахуєла.",1,uk
"йобу, то шоб ти дотку не грав",1,uk
Посиділа на парі з якогось говна ще й відчула себе тупою бо не получилось в цьому говні розібратись.,1,uk
"люблю Дівчинку, але ця шерсть всюди вже дістала.",0,uk
"Це електронна бібліотека інситуту, який я закінчила.)",0,uk
"Терпіть мої селфі, раз терпите мене.",0,uk
" Навіть якщо згідно твоєму особистому ""херньометру"" фотка повна херня,все одно лайкнеш?)",1,uk
Обожнюю коли в одній кімнаті багато троянд.,0,uk
"Та вабщє, охурмєлі люді однако",1,uk
та то пиздець якийсь Жовтень місяць!!,1,uk
"Хоча ок, то мій просто суіциднік, трупом віддавав.",1,uk
"Я вважаю,таких тре примусово навчати,а якщо не піддаються навчанню,гнати сраним віником,замінюючи молодими фахівцями",1,uk
"Подивилась на Юлю і паняла,шо можна не паритись на рахунок давно нефарбованого волосся,синців під очима і запухшого обличчя.",0,uk
"На роботі мене накрило, і розболілася голова так, що я ледь не здох.",0,uk
"Я не знаю, як відростити свій бронєбойний панцир назад.",0,uk
"Обурюється депутат від ""єво"" партії Лєщєнко.",0,uk
"Мама поклала око на мій телефон, пообіцяв підігнати його у новому чохлі завтра, а сьогодні...подряпав, блядь, екран.",1,uk
"Нє, інше: - ну ти йобнута.",1,uk
Насправді мене заїбало ніхуя не робити.,1,uk
Ти зайшла до кімнати і вона може тоже така: блядство.,1,uk
Якось мене сьогодні всі виносять і харять,0,uk
Ще прийде час – уйобуватимуть нахуй звідсіль.,1,uk
Найулюбленіші кадри) в той липневий день була якраз ідеальна погода для фотографування,0,uk
"Мене вистачило на 10хвилин і з словами: ""ну нахєр"" я пішла перевдягати кофту, щоб йти без ліфчика",1,uk
"#VovaNata дивляться холостяка і реально фігєю з тої тупої курки, яку зараз показують.",1,uk
"Особливо ця їбуча психотравма від того, що від сусідки ним весь час пахло.",1,uk
2 рази пішла нахуй ц Вайло,1,uk
"та ну вас з Алєгом в пізду  Я, блядь, заснути не можу, бо повторюю уєбанське «алєгалєгалєг» і ржу.",1,uk
Тому що я там помилився Мало бути дальнойобщік,0,uk
"Не вистачає лише: ""мені 8, а не 15, довбаний ти касир.",1,uk
Тому курва підтримуйте один одного.,1,uk
завелась би і поїхала по тій тупій пізді.,1,uk
"Є те, що розкиданим тримати небезчно для пересування.",0,uk
"Ти надто полюбляєш спати, щоб бути по-справжньому небезпечною.",0,uk
"Надворі налякано гойдаються дерева, з усіх витяжок доносяться моторошні звуки.",0,uk
"Я тобі казала, у нього проблеми з потягами.",0,uk
"ну бля, все ж нормально було так якого фіга Олісіті розпадається?!",1,uk
"Сука, єбав я то всьо в рот.",1,uk
"Розум: Галя, щоб в Україні ти могла далі купувати собі всякі ніштяки, вилазь з ліжка і вйобуй.",1,uk
"Мені задарили футболку як блогеру від Привата, пішов на вокзал задарив першому ж пацану.",0,uk
"..коли з усіх інструментів є тільки молоток, усі проблеми бачаться цвяхами.",0,uk
А якщо вареники на сіськах заєбашити?,1,uk
"Страшні заметілі, сніг січе обличчя, ідучи по коліна провалююся в сніг...",0,uk
